,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
20,20,US,"Heitz has made this stellar rosé from the rare Grignolino grape since 1961. Ruby grapefruit-red, it's sultry with strawberry, watermelon, orange zest and salty spice flavor, highlighted with vibrant floral aromas.",Grignolino,95,24.0,California,Napa Valley,Napa,Rosé,Heitz
1166,1166,US,"This is made from 92% Cabernet Sauvignon and 8% Pinot Noir, an interesting and fulfilling combination thats robust on the palate. Pinkish-orange in color, it's both tangy and weighty, finishing dry in orange zest.",Rose & Thistle,90,35.0,California,Napa Valley,Napa,Rosé,Adair Bachman
4056,4056,US,"Made from Cabernet Sauvignon, Merlot and Petit Verdot, this rosé has a weightiness. It's juicy, bold and dry, with a hue of freshly cut watermelon that follows on the palate, alongside dried cranberry and currant.",,87,20.0,California,Napa Valley,Napa,Rosé,Des Amis
12310,12310,US,"Cabernet Sauvignon may be the hardest variety to make a rosé from because it yields such a big wine. Vinum tries their best, but despite good fruit and acidity, the wine is heavy, lacking the racy vivacity a great blush wine should have.",Rosé of Cabernet Sauvignon,84,14.0,California,Napa Valley,Napa,Rosé,Vinum
14527,14527,US,"Good acidity and juicy cherry flavors in this blush wine. But it's a little too sweet in extracted fruit, and palls after a sip or two. Drink now.",Rose of Syrah,85,25.0,California,Napa Valley,Napa,Rosé,Peju
18329,18329,US,"This is a simple, sweet blush wine, with jammy raspberry and cherry flavors. It finishes with a swirl of spices.",Rosato,85,16.0,California,Napa Valley,Napa,Rosé,Benessere
20092,20092,US,"This blend of Cab Sauvignon, Merlot and Cab Franc is a little heavy for a rosé. It's rich in cherry, currant and spice flavors. Could almost substitute for a red wine.",Arriviste,86,25.0,California,Napa Valley,Napa,Rosé,Blackbird Vineyards
31914,31914,US,"This darker-salmon-colored rosé combines Sangiovese and Pinot Noir in equal proportion. It delivers faint aromatics of nectarine and rustic cherry, the color reflecting the burly properties of Napa Valley Sangiovese. Dry, with racy acidity, it has grip on the finish.",,87,30.0,California,Napa Valley,Napa,Rosé,Terra Valentine
32424,32424,US,"Made from Syrah grapes with purpose, not as a saignée, this is an alluring wine, its aromatics exuberant in wild strawberry and rhubarb, with a pithy, textured vibe. With just the right amount of power and body, it's vibrant and yet has body and weight, retaining substance through the long finish.",Corallina,91,25.0,California,Napa Valley,Napa,Rosé,Cornerstone
34340,34340,US,"Dark in color for a rosé and full-bodied, this blend of undetermined varieties is way too sweet in sugary raspberry and cherry flavors. You could classify it as a dessert wine.",,82,18.0,California,Napa Valley,Napa,Rosé,Rutherford Hill
38483,38483,US,"A perfect summer blush wine. Made in the style of the southern Rhône, it's rich in strawberry, raspberry, rosehip tea, vanilla and spice flavors, brightened with zesty acidity. Just delicious with smoked meats, tempura, ahi tuna tartare.",Rosato,90,21.0,California,Napa Valley,Napa,Rosé,Swanson
44377,44377,US,"Good acidity and juicy cherry flavors in this blush wine. But it's a little too sweet in extracted fruit, and palls after a sip or two. Drink now.",Rose of Syrah,85,25.0,California,Napa Valley,Napa,Rosé,Peju
46604,46604,US,"Too dark and heavy for a blush wine, with jammy flavors of cherries, vanilla and spices. Lacks lightness and intricacy.",Pinot Noir,82,20.0,California,Napa Valley,Napa,Rosé,Elkhorn Peak
47687,47687,US,"Hendry has been doing interesting things in lesser-known niches, including rosé, and this one, an unusual blend of all five Bordeaux red varieties plus Primitivo, is worth considering. It's nicely dry and crisp, with flavors of cherries, tobacco, herbs, flowers and vanilla. Very Provençal.",,89,13.0,California,Napa Valley,Napa,Rosé,Hendry
48162,48162,US,"This is a Syrah. It's fruity and jammy, showing cherry and orange flavors, and there's a cut of green gooseberry, like you find in some Sauvignon Blancs, that is not pleasant.",Sandpiper,82,20.0,California,Napa Valley,Napa,Rosé,Porter Family Vineyards
48943,48943,US,"A nice rosé wine, if a little dark in color and full-bodied. It's very dry and crisp and clean, with suggestions of cherries, rose petals, vanilla and cinnamon spice.",Hendry Ranch,87,13.0,California,Napa Valley,Napa,Rosé,Hendry
51223,51223,US,"This blush wine is a blend of Cabernet Franc and Merlot. As you'd expect, it's a big wine for a rosé, a little heavy, but there's a nice cut of acidity that helps. Is it dry? Sort of, with a jammy finish of black raspberries. Try this easy-drinking wine with grilled tuna or a hamburger.",,88,24.0,California,Napa Valley,Napa,Rosé,Virage
52963,52963,US,"Made from a blend of 62% Grenache and 38% Syrah, this is a classically dry, refreshingly crisp rosé, pink-salmon in color that's intense yet soft, crafted in a Provence style. The grapes come from Rutherford, Atlas Peak and Sonoma County's Kick Ranch, tasting of fresh raspberry and spring flowers, a bite of wet stone on the finish.",,91,22.0,California,Napa Valley,Napa,Rosé,Kale
54313,54313,US,"Pretty dark for a rosé and full-bodied, with cherry, red plum and spicy vanilla flavors. Could almost double for a red.",,84,18.0,California,Napa Valley,Napa,Rosé,Elizabeth Rose
54334,54334,US,"Frankly sweet, with raspberry and cherry vanilla flavors that are marred with a scent of feline emission.",,81,16.0,California,Napa Valley,Napa,Rosé,Elizabeth Rose
55019,55019,US,"Made from 58% Cabernet Sauvignon, 22% Merlot and 20% Cabernet Franc, this rosé was made in the saignée method, cold fermented for six weeks, left sur lies and cold stored, producing an intense, structured wine thick in strawberry and raspberry flavor with just a hint of herbal amidst its complex layers.",Arriviste,90,25.0,California,Napa Valley,Napa,Rosé,Blackbird Vineyards
57180,57180,US,"Simple and a little sugary, this Syrah, Pinot Noir and Zinfandel blend has pop flavors of raspberries, cherries, vanilla and cola.",,82,18.0,California,Napa Valley,Napa,Rosé,Elizabeth Rose
62936,62936,US,"There's lots of stimulating acidity in this wine, which is mostly from the Valdiguie grape, otherwise known as Napa Gamay. It shows good cherry and spice flavors and is on the dry side, making it a good palate cleaner. Great with sushi.",La Grenouille Rouganté Pink Vin,86,12.0,California,Napa Valley,Napa,Rosé,Frog's Leap
68366,68366,US,"Like a Beaujolais Nouveau, this is a lively, grapey wine, with fresh-from-the-fermenter flavors of raspberries, red cherries, cinnamon and pepper.",La Grenouille Rouganté,85,14.0,California,Napa Valley,Napa,Rosé,Frog's Leap
71863,71863,US,"This blush wine is a blend of Cabernet Franc and Merlot. As you'd expect, it's a big wine for a rosé, a little heavy, but there's a nice cut of acidity that helps. Is it dry? Sort of, with a jammy finish of black raspberries. Try this easy-drinking wine with grilled tuna or a hamburger.",,88,24.0,California,Napa Valley,Napa,Rosé,Virage
72539,72539,US,"This is a simple, sweet blush wine, with jammy raspberry and cherry flavors. It finishes with a swirl of spices.",Rosato,85,16.0,California,Napa Valley,Napa,Rosé,Benessere
75628,75628,US,"Made from Zinfandel, Malbec, Sangiovese and Pinot Noir, this tastes rich in cranberries, watermelons and strawberries. The acidity is refreshingly tart, but the ripe fruit flavors make it somewhat cloying on the palate.",Alma's Napa,84,21.0,California,Napa Valley,Napa,Rosé,Tudal
79934,79934,US,"This is a simple, sweet blush wine, with jammy raspberry, vanilla and white sugar flavors. With nice acidity, it will wash down salty, umami-flavored foods, like ham, sausages, roasted nuts, olives.",Rosato,84,16.0,California,Napa Valley,Napa,Rosé,Benessere
